k_value,avg_precision,avg_recall,avg_f1_score,avg_latency_ms,queries_tested
1,0.9,0.25,0.38999999999999996,546.9332933425903,10
3,0.9333333333333332,0.775,0.8428571428571427,343.4250593185425,10
5,0.96,1.325,1.1083333333333332,344.5728540420532,10
10,0.96,2.6333333333333337,1.402197802197802,345.0737237930298,10
